,mse,mae,QLIKE,mape
HAR,0.001,0.0,0.052,0.0
HAR-SVR1,0.001,0.0,0.139,0.001
HAR-SVR2,0.265,0.0,0.628,0.001
HAR-SVR3,1.0,1.0,1.0,1.0
