,0
2010-03-26,1.9215311027623403
2010-03-29,1.855984688423084
2010-03-30,1.7032636206840799
2010-03-31,1.9304237638664135
2010-04-01,0.9576212706640777
2010-04-02,1.1041040571068614
2010-04-05,1.6962799862607545
2010-04-06,1.4413878371322624
2010-04-07,1.3614464607041932
2010-04-08,1.8669535928923697
2010-04-09,2.0551638817210662
2010-04-12,2.3066245319040486
2010-04-13,2.1492454510439885
2010-04-14,1.9540814597492948
2010-04-15,2.374274936059236
2010-04-16,2.077864635469603
2010-04-19,1.3052132470024538
2010-04-20,2.1694112116961923
2010-04-21,1.6848053312325295
2010-04-22,1.6551832992170321
2010-04-23,1.6994982561509593
2010-04-26,1.8403121096986832
2010-04-27,2.095320805155995
2010-04-28,1.639847464569431
2010-04-30,1.4493494155304556
2010-05-06,2.8808237067366447
2010-05-07,2.3635293366111987
2010-05-10,1.6373704564762555
2010-05-11,1.78710729002748
2010-05-12,2.039265452301259
2010-05-13,2.0632239730865582
2010-05-14,2.1913825045792565
2010-05-17,2.0414327488487154
2010-05-18,1.90754769594455
2010-05-19,2.0980304837535644
2010-05-20,2.1684264264886823
2010-05-21,2.0836326020137226
2010-05-24,2.0829719839502094
2010-05-25,2.1348016888820682
2010-05-26,2.2638389327463377
2010-05-27,2.310198869685625
2010-05-28,1.7636416590595014
2010-05-31,1.8133478635907656
2010-06-01,2.0038240794383273
2010-06-02,2.4136893595117725
2010-06-03,2.2159620145227557
2010-06-04,2.6464612084716945
2010-06-07,0.9595809931263924
2010-06-08,2.3795640556223168
2010-06-09,1.6415443007142696
2010-06-10,2.5800573798058997
2010-06-11,2.0106434559007518
2010-06-14,2.323769919049589
2010-06-15,2.111701395547665
2010-06-16,2.0664216787938416
2010-06-17,1.5368409238651348
2010-06-18,1.760741336105344
2010-06-21,2.1386145467590847
2010-06-22,2.2389001931841177
2010-06-23,2.471245762118528
2010-06-24,1.9006039773103507
2010-06-25,2.0873597308918064
2010-06-28,1.2469428094973685
2010-06-29,2.7608208447825606
2010-06-30,1.3249504316132863
2010-07-01,1.5352920046725869
2010-07-02,2.482698040360846
2010-07-05,2.1131753350847005
2010-07-06,2.038391388654829
2010-07-07,2.694813621445646
2010-07-08,0.65406399990526
2010-07-09,0.7274098479105007
2010-07-12,1.3393647769888855
2010-07-13,1.3727730073592863
2010-07-14,1.9157749555808914
2010-07-15,2.199352681868309
2010-07-16,1.5048862466613202
2010-07-20,2.01173396742606
2010-07-21,2.071933774041917
2010-07-22,2.783521308409243
2010-07-23,1.0847171148209367
2010-07-26,0.8012258366945249
2010-07-27,1.9091090442882743
2010-07-28,1.5883897493704602
2010-07-29,2.0314984986015894
2010-07-30,1.3207721305888986
2010-08-02,1.2276167694850648
2010-08-03,1.0330083148185987
2010-08-04,2.2439357036840666
2010-08-05,2.031648440409965
2010-08-06,1.4260424416394133
2010-08-09,1.1651582669216465
2010-08-10,1.7437726279564472
2010-08-11,2.384177894048001
2010-08-12,2.797557172875363
2010-08-13,1.954218141133216
2010-08-16,2.1264642977706183
2010-08-17,2.014901897793025
2010-08-18,1.6277570656363327
2010-08-19,2.1319734272498976
2010-08-20,2.8304853345669985
2010-08-23,1.2169345826175473
2010-08-24,1.536338183256218
2010-08-25,2.4069294661628415
2010-08-26,2.7403726210798784
2010-08-27,2.4981479541405
2010-08-30,2.1057052676107255
2010-08-31,2.1877849916709255
2010-09-01,2.3997799813090133
2010-09-02,1.8766010844469103
2010-09-03,2.150542142400811
2010-09-06,2.123584110349258
2010-09-07,2.025989211729782
2010-09-08,2.4658438614623237
2010-09-09,2.053534143637475
2010-09-10,1.210419090858522
2010-09-13,2.0085799769538513
2010-09-14,2.630684968909738
2010-09-15,1.6710131894630869
2010-09-16,1.9074433959406611
2010-09-17,1.7985107577770179
2010-09-21,2.1350303883176
2010-09-22,1.3569905742599477
2010-09-24,2.1535066365581277
2010-09-27,1.5301751964710726
2010-09-28,2.0638696559196754
2010-09-29,1.0443772777365061
2010-09-30,1.15266370910788
2010-10-01,1.8744559725628265
2010-10-04,1.8694420191500454
2010-10-05,1.9284403465926374
2010-10-06,2.1935319764262617
2010-10-07,1.1518036237145335
2010-10-08,1.3864599596416989
2010-10-12,2.24285196651823
2010-10-13,1.9642678873514456
2010-10-14,1.0827632971468053
2010-10-15,1.5265932396416333
2010-10-18,1.0414949123840425
2010-10-19,1.2194369107481053
2010-10-20,2.37711865951971
2010-10-21,2.129052631071887
2010-10-22,1.500766810728496
2010-10-25,1.7659641387626173
2010-10-26,0.8189118691252204
2010-10-27,2.1874548793162103
2010-10-28,1.5635150108952565
2010-10-29,1.7062699831090915
2010-11-01,1.710126462944434
2010-11-02,1.3692509679823108
2010-11-04,1.789320198124718
2010-11-05,1.8087676974233842
2010-11-08,2.040929599373647
2010-11-09,0.9002424681299916
2010-11-10,1.2968541318733853
2010-11-11,2.092515611208417
2010-11-12,1.4530846223592675
2010-11-15,1.335430371959169
2010-11-16,1.6474499515019787
2010-11-17,1.8199974323427117
2010-11-18,0.9500090342692149
2010-11-19,1.1077385017445853
2010-11-22,1.8686869978090277
2010-11-24,2.428126701539859
2010-11-25,1.059220049367852
2010-11-26,1.8777206310258987
2010-11-29,1.3609141404547564
2010-11-30,1.8295920096875569
2010-12-01,2.3891447878154275
2010-12-02,1.0379990156673018
2010-12-03,1.670512474549832
2010-12-06,1.641496267511497
2010-12-07,1.4511917505957217
2010-12-08,1.1344458451252715
2010-12-09,1.1203111392387282
2010-12-10,1.4397120299410373
2010-12-13,1.7004303946722985
2010-12-14,0.42408484578592337
2010-12-15,0.8894623144322709
2010-12-16,0.5116603498960134
2010-12-17,1.8253280829974428
2010-12-20,1.4580246479951438
2010-12-21,1.350789262684826
2010-12-22,1.3234421312952667
2010-12-24,2.311772265542582
2010-12-27,0.8287771607513793
2010-12-28,2.5231452832257744
2010-12-29,1.0383787587429067
