,model
2010-03-26,0.6831581287744674
2010-03-29,0.9207418479525218
2010-03-30,0.8525027885647809
2010-03-31,0.8416934675619165
2010-04-01,0.8404873378347121
2010-04-02,0.8402559374793545
2010-04-05,0.794883982868495
2010-04-06,0.6646615894977992
2010-04-07,0.778920992867273
2010-04-08,0.9190181410498164
2010-04-09,0.8338949330474997
2010-04-12,0.8365868304048651
2010-04-13,0.8649000511038626
2010-04-14,0.887142534878207
2010-04-15,0.8140751015343204
2010-04-16,2.197467293140226
2010-04-19,1.2690861917195861
2010-04-20,1.1735655487150367
2010-04-21,1.209267891055562
2010-04-22,1.0859765717800327
2010-04-23,1.2569125485280912
2010-04-26,1.3917922546105808
2010-04-27,1.35378369525893
2010-04-28,1.9331499293576626
2010-04-30,1.7165307928262168
2010-05-06,3.3199512010028
2010-05-07,2.6201341130412654
2010-05-10,2.4068103615484984
2010-05-11,3.3032697241679516
2010-05-12,3.2926104656974924
2010-05-13,2.3317790851789897
2010-05-14,3.2756821438677783
2010-05-17,1.5119086712237912
2010-05-18,3.2836812533476714
2010-05-19,3.7063809485482166
2010-05-20,3.6880710232960845
2010-05-21,2.3674154777770253
2010-05-24,2.242432453015721
2010-05-25,3.921256154975186
2010-05-26,3.8139852773617524
2010-05-27,3.3161971082284394
2010-05-28,3.6371583081536514
2010-05-31,1.862737017574264
2010-06-01,3.5465328406458765
2010-06-02,3.2418269838201947
2010-06-03,1.3904906409176157
2010-06-04,3.768536996391993
2010-06-07,1.0056258349502394
2010-06-08,3.343454943468083
2010-06-09,1.1778162383380386
2010-06-10,2.455225839144202
2010-06-11,1.8257093099314765
2010-06-14,3.0734365526756697
2010-06-15,1.9234342182800246
2010-06-16,1.656502432910429
2010-06-17,2.7810416803287894
2010-06-18,1.9232764078557798
2010-06-21,2.632797027299657
2010-06-22,1.6093756060902424
2010-06-23,1.8118884994825741
2010-06-24,1.1874151575690761
2010-06-25,2.7957527552480563
2010-06-28,1.8033124901311512
2010-06-29,2.7149550822329944
2010-06-30,2.9523291093519894
2010-07-01,1.2174046502517846
2010-07-02,1.762723018750565
2010-07-05,2.7147276353480216
2010-07-06,2.8941651831978037
2010-07-07,2.5335226654855276
2010-07-08,1.791504599372893
2010-07-09,2.431453668887216
2010-07-12,2.4298341985213945
2010-07-13,2.4019712555213
2010-07-14,2.392670170265837
2010-07-15,2.4898222131502012
2010-07-16,2.5820859315523874
2010-07-20,2.7873307683726676
2010-07-21,1.5718830123636935
2010-07-22,2.181098420655961
2010-07-23,2.434150997342497
2010-07-26,1.7589787298907131
2010-07-27,2.148002523822267
2010-07-28,0.8968111387439341
2010-07-29,2.4421580750656258
2010-07-30,2.4533559759887535
2010-08-02,2.182076740514194
2010-08-03,2.2938043516790567
2010-08-04,2.343683278400518
2010-08-05,0.958089215164988
2010-08-06,1.0813469779673437
2010-08-09,2.3008694433908987
2010-08-10,1.5131798027841072
2010-08-11,2.5384307188701873
2010-08-12,2.982094490104488
2010-08-13,1.7469146423430661
2010-08-16,2.1069127169621327
2010-08-17,1.8635211546185966
2010-08-18,2.849307828192605
2010-08-19,1.8134597766129128
2010-08-20,2.188681078971819
2010-08-23,2.7230327313144107
2010-08-24,2.7950519673707386
2010-08-25,2.5117458074778294
2010-08-26,2.458360622755143
2010-08-27,1.7772751512056073
2010-08-30,2.8873883805676916
2010-08-31,3.1067556679055617
2010-09-01,3.0304377299580754
2010-09-02,3.0406107638674955
2010-09-03,1.3407261458375184
2010-09-06,2.5396326908963305
2010-09-07,2.873378611044707
2010-09-08,2.3448117312569945
2010-09-09,1.3701399958709386
2010-09-10,2.895555077484958
2010-09-13,2.6990674426386523
2010-09-14,2.6222314640829594
2010-09-15,1.651972021677365
2010-09-16,1.388016322508653
2010-09-17,1.4788508285422899
2010-09-21,1.1359927773374188
2010-09-22,2.4738876862859085
2010-09-24,2.6362287503643778
2010-09-27,2.535435368202272
2010-09-28,2.0994116216525827
2010-09-29,2.5319410822690087
2010-09-30,1.2179241325606798
2010-10-01,2.4520003854382804
2010-10-04,1.6811370783614015
2010-10-05,2.37771932053807
2010-10-06,2.067923489165297
2010-10-07,2.365271092053499
2010-10-08,2.3593398992307177
2010-10-12,2.0936140735839217
2010-10-13,1.2994493846727608
2010-10-14,1.3507985772625366
2010-10-15,1.8352980406108987
2010-10-18,2.2908221039636403
2010-10-19,2.280194284067337
2010-10-20,2.475341749941022
2010-10-21,2.4673127167151967
2010-10-22,1.9192116584941
2010-10-25,2.4269086864024985
2010-10-26,1.87133654420153
2010-10-27,2.0475240807130692
2010-10-28,2.2623169045741673
2010-10-29,1.736751662889521
2010-11-01,1.3668258852859467
2010-11-02,1.7728998906816957
2010-11-04,2.249839039349589
2010-11-05,1.5381652919271944
2010-11-08,2.2056764391410564
2010-11-09,2.1870220330223216
2010-11-10,2.1697149094043082
2010-11-11,1.1510979168307758
2010-11-12,2.20073166779594
2010-11-15,2.1234968185771814
2010-11-16,2.2671679473135633
2010-11-17,2.3454206687180283
2010-11-18,2.338132712117412
2010-11-19,1.381179911599724
2010-11-22,2.3075923629307247
2010-11-24,1.339400091746918
2010-11-25,2.406654941708344
2010-11-26,1.0432972298856666
2010-11-29,0.92703777199585
2010-11-30,2.4406207074616546
2010-12-01,2.282411376455819
2010-12-02,1.3056915200212833
2010-12-03,1.4685190320022155
2010-12-06,2.223943295457955
2010-12-07,1.6890703108110272
2010-12-08,2.205009469369832
2010-12-09,2.1597240517097225
2010-12-10,2.2304117031446293
2010-12-13,2.22959036376971
2010-12-14,1.3389832286663943
2010-12-15,2.1932677273962464
2010-12-16,2.187276387064741
2010-12-17,1.2196297206817615
2010-12-20,2.13166760269809
2010-12-21,2.119756104415825
2010-12-22,0.6612981482342111
2010-12-24,2.102330750419584
2010-12-27,1.064073300185039
2010-12-28,1.4533557605866985
2010-12-29,1.286457889221616
