,RMSE,MAE,MAPE,R2
har,,,,
model 1,,,,
model 2,,,,
0,0.6185501304895845,0.3460345030017188,0.4588964633125145,0.778287177018988
1,0.47676683929918895,0.31790214159010577,0.5905526556294111,0.8682795856074864
2,0.6422296693017943,0.3608761407927264,0.49720109926396117,0.7609868828564393
