,0
2010-03-26,0.00862548506434204
2010-03-29,0.09587377364623598
2010-03-30,0.06600117028945228
2010-03-31,0.009696488301061188
2010-04-01,0.021461217586825905
2010-04-02,0.007135482001212378
2010-04-05,0.031311760442074135
2010-04-06,0.04501694081117105
2010-04-07,0.13636305244355396
2010-04-08,0.038612362555200744
2010-04-09,0.008037533369485508
2010-04-12,0.014136348397166206
2010-04-13,0.018843913075758025
2010-04-14,0.01956243914725125
2010-04-15,0.010283735170265134
2010-04-16,0.1433249941861843
2010-04-19,0.0005518511957762426
2010-04-20,0.010295048101391693
2010-04-21,0.021924441705870497
2010-04-22,0.16732488969033638
2010-04-23,0.052952084598958726
2010-04-26,0.11266941336973132
2010-04-27,0.06876021781016044
2010-04-28,0.02141254684393809
2010-04-30,0.04160095620061558
2010-05-06,0.0
2010-05-07,0.6268140609626518
2010-05-10,0.11372793154654386
2010-05-11,0.0407773141107528
2010-05-12,0.010256259117428994
2010-05-13,0.08303785666186489
2010-05-14,0.08639972129347324
2010-05-17,0.031334992421747
2010-05-18,0.009822097457473753
2010-05-19,0.005426262770063409
2010-05-20,2.5240082959729584
2010-05-21,0.05150898226907859
2010-05-24,0.012848462068425338
2010-05-25,0.03522161629476507
2010-05-26,0.025137549702644438
2010-05-27,0.010411375024574813
2010-05-28,0.01750484818708245
2010-05-31,0.007413706743129635
2010-06-01,0.005225484545691611
2010-06-02,0.02683858655266238
2010-06-03,0.009683591665098006
2010-06-04,0.652635236007413
2010-06-07,0.01044883457584981
2010-06-08,0.13658357788865594
2010-06-09,0.18353883285751238
2010-06-10,0.015212212651486211
2010-06-11,0.07320509949226339
2010-06-14,0.114187757056005
2010-06-15,0.023079275457290556
2010-06-16,0.01889559545439035
2010-06-17,0.01865872852250738
2010-06-18,0.002991764168858921
2010-06-21,0.10438445780468797
2010-06-22,0.006281354618704174
2010-06-23,0.007409025856834622
2010-06-24,0.08831156810131327
2010-06-25,0.027100776682111485
2010-06-28,0.004050000692447737
2010-06-29,0.33985871145408164
2010-06-30,0.03361247114425386
2010-07-01,0.019220676954413502
2010-07-02,0.13565313454616093
2010-07-05,0.03992267769353228
2010-07-06,0.050720028488849975
2010-07-07,0.20306277983799015
2010-07-08,0.28045840552085194
2010-07-09,0.11916698726141857
2010-07-12,0.0053508612599855645
2010-07-13,0.07711385283669256
2010-07-14,0.005177541261004047
2010-07-15,0.030869329951589315
2010-07-16,0.18732428209034122
2010-07-20,0.024826535017990734
2010-07-21,0.00602583830721045
2010-07-22,0.008064163031729998
2010-07-23,0.053020021459034415
2010-07-26,0.04596106256304189
2010-07-27,0.20200156281116663
2010-07-28,0.04354996418458781
2010-07-29,0.17823417786468093
2010-07-30,0.0010948401387323348
2010-08-02,0.17626421112634955
2010-08-03,0.0025829331581617453
2010-08-04,0.061583118087474124
2010-08-05,0.061930437828205565
2010-08-06,0.007474094091489721
2010-08-09,0.04598993762662853
2010-08-10,0.005287302368056183
2010-08-11,0.016294570156055357
2010-08-12,0.0040938656388678175
2010-08-13,0.0010398544629785793
2010-08-16,0.004738853789539881
2010-08-17,0.011286775312038807
2010-08-18,0.07257069581678961
2010-08-19,0.10159476738151837
2010-08-20,0.006887164007458158
2010-08-23,0.01826273413101122
2010-08-24,0.02777856029528275
2010-08-25,0.012753135198966663
2010-08-26,0.02660616492974965
2010-08-27,0.020532869930548415
2010-08-30,0.058800571356660294
2010-08-31,0.10346076159444176
2010-09-01,0.032498386458722855
2010-09-02,0.06211499803005265
2010-09-03,0.038447751643775785
2010-09-06,0.06893329828116543
2010-09-07,0.03800265925609137
2010-09-08,0.015356884783571738
2010-09-09,0.002855573763317417
2010-09-10,0.009128952074214875
2010-09-13,0.051468039498482165
2010-09-14,0.15232005696925735
2010-09-15,0.13262248562634832
2010-09-16,0.05969125941225015
2010-09-17,0.02177308047153356
2010-09-21,0.002708387049425919
2010-09-22,0.07448332721788817
2010-09-24,0.0056325684064603655
2010-09-27,0.023089934824515157
2010-09-28,0.033085225037944414
2010-09-29,0.05674854630426007
2010-09-30,0.01715130470026018
2010-10-01,0.05274845652859905
2010-10-04,0.007173092300453249
2010-10-05,0.01019212031720864
2010-10-06,0.0038520393985971863
2010-10-07,0.03744302495923508
2010-10-08,0.03341779413396861
2010-10-12,0.013517418236145762
2010-10-13,0.018385102811348964
2010-10-14,0.002217323379594685
2010-10-15,0.045772725497480946
2010-10-18,0.015423023193007139
2010-10-19,0.031099500531924833
2010-10-20,0.06634757907546253
2010-10-21,0.02482669330783173
2010-10-22,0.0009039636499983352
2010-10-25,0.31179025346992506
2010-10-26,0.09874201779030567
2010-10-27,0.021044826068331652
2010-10-28,0.018503859714142153
2010-10-29,0.016901432082309063
2010-11-01,0.021101225143046232
2010-11-02,0.10158775470327211
2010-11-04,0.09724787841177199
2010-11-05,0.0678201412254417
2010-11-08,0.0028260147543237436
2010-11-09,0.008297873993331218
2010-11-10,0.03791633077138769
2010-11-11,0.06364819863617528
2010-11-12,0.03382766204887188
2010-11-15,0.007850086311615594
2010-11-16,0.021973713774463312
2010-11-17,0.05263990941633807
2010-11-18,0.04502347631460632
2010-11-19,0.002250146091115457
2010-11-22,0.727236331799419
2010-11-24,0.0007675922882555562
2010-11-25,0.005876191714658595
2010-11-26,0.058973432966435105
2010-11-29,0.03207847841424927
2010-11-30,0.08880532759264446
2010-12-01,0.10357526184092644
2010-12-02,0.04395405608677159
2010-12-03,0.1334841017732098
2010-12-06,0.021441901784051386
2010-12-07,0.0016023469422752896
2010-12-08,0.034373725634350316
