,0,1
2010-03-25,0.42392223093352305,
2010-03-26,0.9942604478534405,0.4635337407203942
2010-03-29,0.6878329505928089,0.40395020292053613
2010-03-30,0.5908363477806229,0.5928184098365576
2010-03-31,0.27836422822080253,0.43864636954081987
2010-04-01,1.0635732613373126,0.43367432024936237
2010-04-02,0.43711401447712306,0.43492156074271454
2010-04-05,0.2513343188061402,0.4236356899303937
2010-04-06,0.03142051823603792,0.4258847379924239
2010-04-07,0.45051132021825885,0.40979392019801714
2010-04-08,0.1978920603807142,0.3490354760304874
2010-04-09,0.23800810602504327,0.3739738733371658
2010-04-12,0.3412225543221735,0.36273279535123215
2010-04-13,0.40910438098136237,0.39245605881321277
2010-04-14,0.2852223794969192,0.3949206450638312
2010-04-15,0.6709211679405811,0.35547607017286287
2010-04-16,0.7158946143255493,0.44133455851415376
2010-04-19,-0.09447561966244811,0.4070763564744648
2010-04-20,0.681956558302009,0.6233012470394843
2010-04-21,1.2191766306291938,0.627673078220792
2010-04-22,0.64149730995202,0.7187528573886866
2010-04-23,0.6902241207155194,0.7639067693980305
2010-04-26,0.831459146126026,0.5666653673486653
2010-04-27,0.6850723366535271,0.658225837984814
2010-04-28,0.6664768840296735,0.5470918416478452
2010-04-30,1.0047487810233124,0.8422132813737833
2010-05-06,1.4750340273476161,1.076677434210396
2010-05-07,1.8769981305076555,2.0108123850690176
2010-05-10,2.1619154822456292,1.2740583657284392
2010-05-11,1.8884079690017623,1.891222376865886
2010-05-12,1.8810149786877264,1.809788685003533
2010-05-13,1.6525439093330014,1.542824621135889
2010-05-14,1.1110325688340694,1.2103103119275622
2010-05-17,1.4255250192039854,1.3550448825150028
2010-05-18,1.3617833794512215,1.1543178367549136
2010-05-19,1.4715669047686841,1.3936511233548055
2010-05-20,1.330232720112416,1.4181115963576605
2010-05-21,1.574923262639897,1.6099584138949479
2010-05-24,1.7188177362152108,1.717173600066513
2010-05-25,1.7410155469725304,1.7091144960681621
2010-05-26,1.5433690760845877,1.623176367758146
2010-05-27,1.7682552106836853,1.6653681798131326
2010-05-28,1.5399745049987856,1.47632362215002
2010-05-31,1.737383269434855,2.0006642632048197
2010-06-01,1.4343024769541635,1.580353487801338
2010-06-02,1.6645254258520166,1.59787587145314
2010-06-03,1.555647907805014,1.5843917973482742
2010-06-04,1.5953093490027908,1.4354316021997537
2010-06-07,1.538690727200338,1.198271518941034
2010-06-08,1.786079767482651,1.488082483029177
2010-06-09,1.598908575215168,1.5270405432356897
2010-06-10,1.4124977567914994,1.2818614594315618
2010-06-11,1.4833387929233552,1.354032199467392
2010-06-14,1.2590797389339203,1.1921379899673195
2010-06-15,1.4438423096279402,1.1320830517256986
2010-06-16,1.2444014295181778,1.1283350408174306
2010-06-17,1.428077994417075,1.2631034768156217
2010-06-18,1.0247969259062406,1.0636264955848345
2010-06-21,1.0504551628850987,0.9100217724452309
2010-06-22,1.2720135828888344,0.6173517030902113
2010-06-23,0.7647527983544331,0.581092482229673
2010-06-24,0.7667533358357392,1.054337470173697
2010-06-25,1.0795337606375641,1.2560785181561989
2010-06-28,0.558844942797885,1.1309101069771086
2010-06-29,1.1960381164851004,0.7893296852753884
2010-06-30,1.0583207956579208,0.961368964224748
2010-07-01,0.9458053220216015,1.038738555004292
2010-07-02,0.917849629178981,1.2182169079590777
2010-07-05,1.0234574512600065,1.1596883154660582
2010-07-06,1.0676939870854703,1.133041853222582
2010-07-07,0.8581864798051655,0.9585821216895758
2010-07-08,1.0097090888251468,1.304128443032648
2010-07-09,0.9798378665318734,1.306927354275665
2010-07-12,1.1931869174416527,1.1448455672472249
2010-07-13,1.2398567961509483,1.1356356309782742
2010-07-14,1.539116971591118,1.102120138817517
2010-07-15,0.41035157265290756,1.1120685991226702
2010-07-16,1.0358201637628637,1.250199120188068
2010-07-20,1.1060504355891636,1.2057443441707245
2010-07-21,1.1947424021147963,1.7447395570888862
2010-07-22,1.7169446825075454,0.884911179191979
2010-07-23,1.1348336637579122,1.172195379167219
2010-07-26,1.3589416843660895,1.0658130237974808
2010-07-27,1.2562488450835148,1.184105508103644
2010-07-28,1.6015122176364107,1.1191749997015041
2010-07-29,1.1405774631003656,1.1164064922911345
2010-07-30,0.9338249904112765,0.9710322617188842
2010-08-02,0.5106933845096282,0.8453093171121663
2010-08-03,1.3479577874086903,1.1570833370334892
2010-08-04,1.3975853572731893,1.0369477650218542
2010-08-05,1.0103075401617048,1.0936859286269878
2010-08-06,0.9117394841020564,1.100197402448482
2010-08-09,0.9153525794086705,0.7851382620501184
2010-08-10,1.8228507930641227,1.1700586247199898
2010-08-11,3.572968527882903,0.9068489843423055
2010-08-12,0.948093231825605,1.0738397639339494
2010-08-13,1.3644789623016376,0.9432436579835609
2010-08-16,1.4550766214098232,1.0614228938358885
2010-08-17,1.1999691012181206,1.003030367826607
2010-08-18,1.2701408330883053,0.7928118862350146
2010-08-19,0.7190488916859495,0.8443861022975949
2010-08-20,1.2947479756083689,1.2828849210374547
2010-08-23,0.8964813598494958,1.077579207576914
2010-08-24,1.487620326160962,1.1271477957621208
2010-08-25,1.192895632615186,1.0942716556217846
2010-08-26,0.769809001503213,0.8142388381007412
2010-08-27,-0.09238498870969036,1.0999540807045434
2010-08-30,1.2188270399644916,1.060126804382315
2010-08-31,2.2962002183767547,1.175535530711964
2010-09-01,1.1542769320764388,1.026557682596438
2010-09-02,1.390347186113903,1.0195780905566685
2010-09-03,1.4928650995385508,1.1642654754514477
2010-09-06,1.3293233537037503,1.2614933750713964
2010-09-07,1.3314420726499483,1.0915151617911387
