,0,1
2010-03-29,0.8437527290809969,0.5322054752569798
2010-03-30,0.5375583281693794,0.6277920394037351
2010-03-31,0.4943887418929166,0.469295917092088
2010-04-01,0.5844531101482359,0.43892928923493035
2010-04-02,0.459956681192042,0.4780519166769932
2010-04-05,0.5042468149567547,0.429425742913701
2010-04-06,0.48561809802833705,0.49581252377693535
2010-04-07,0.41397783693469076,0.43167332934115765
2010-04-08,0.3539600828915164,0.3992572337582121
2010-04-09,0.40298709593292587,0.4001236901067388
2010-04-12,0.6988067369247128,0.6862156464256445
2010-04-13,0.5955653800985306,0.4105018265619458
2010-04-14,0.3991471979382874,0.40842362404258636
2010-04-15,0.40700941759444703,0.45512271979783714
2010-04-16,0.46108205435168265,0.4472200284235249
2010-04-19,0.8655850438512174,0.7597457142211146
2010-04-20,0.6778242944584717,0.6582680766073361
2010-04-21,1.4457360887350428,1.413049556888685
2010-04-22,0.7265275415116015,0.7377223969796337
2010-04-23,0.7630360237556439,0.7791932757995055
2010-04-26,0.6077940232252587,0.6252261629662603
2010-04-27,0.6577468498212334,0.6501650155433573
2010-04-28,1.0774935083555046,1.0949526709622703
2010-04-30,1.3143897809742913,1.2355826623684247
2010-05-06,2.2478574697755516,2.2587392171028955
2010-05-07,3.201611463488176,3.2085678721596675
2010-05-10,3.1845644144873746,3.197123671552771
2010-05-11,1.7551466816210017,1.945418408261122
2010-05-12,1.50714875071429,1.7972298388694237
2010-05-13,1.4445107620146442,1.6482190983086649
2010-05-14,1.4450386299365254,1.3842166200869146
2010-05-17,1.721004085335598,1.820760061091608
2010-05-18,1.7270547780919854,1.7229534417470656
2010-05-19,1.7851223719712963,1.6590675064131757
2010-05-20,1.429439580886594,1.4444628059811249
2010-05-21,2.3794166607370273,2.434243823592388
2010-05-24,1.7462276293447774,1.7803235467197989
2010-05-25,1.5612545583594164,1.7165928668023929
2010-05-26,1.6406209430634724,1.6524326329557664
2010-05-27,1.7224936404107385,1.6861399561202366
2010-05-28,1.8660607272237635,1.8966511348661657
2010-05-31,2.0303111416667683,2.0787532631221284
2010-06-01,1.6027067725924469,1.5728239593382507
2010-06-02,1.5508836730185958,1.6047112866122917
2010-06-03,1.890942952758174,1.8844077283564329
2010-06-04,1.7671190563766237,1.7762451646481896
2010-06-07,2.0778297004340853,2.0099196503207954
2010-06-08,1.6390958553250732,1.7088412053017028
2010-06-09,1.5670302169979209,1.5561434702667636
2010-06-10,1.29453569969195,1.296085957953421
2010-06-11,1.3959721144963784,1.1524174231764897
2010-06-14,1.2524418327879632,1.5124249642595644
2010-06-15,1.2435830752495887,1.3437320748174264
2010-06-16,1.2278048119513831,1.2386962781730986
2010-06-17,1.3552659609511941,1.3737245367299902
2010-06-18,1.0774566884648342,1.097438249350066
2010-06-21,0.9915758030327372,1.079842689347699
2010-06-22,1.0059042262386821,1.0385433978859917
2010-06-23,1.0819343872856524,1.0837003328261694
2010-06-24,1.107149922719639,1.0118981519947963
2010-06-25,1.599131484557359,1.0270782638520233
2010-06-28,1.1562914449945536,1.0089390621268282
2010-06-29,1.0910889456015054,0.8449722633897693
2010-06-30,0.9401491409779109,1.0766861034592898
2010-07-01,1.241876153695494,1.3630255293876137
2010-07-02,1.0695151543392096,1.1174369355370741
2010-07-05,1.0313516716606923,1.0941730637014977
2010-07-06,1.0850169620819459,1.0570724993110157
2010-07-07,0.7722590583871153,0.7890685934638871
2010-07-08,1.246448392152555,1.3461806960117204
2010-07-09,1.1400400119107565,1.3239444194253844
2010-07-12,1.013487584766707,1.4902360016232554
2010-07-13,1.0264657856822168,1.0455967036685712
2010-07-14,0.6861429767732958,0.8701930625230108
2010-07-15,0.9830364475455406,1.0371984392846885
2010-07-16,0.9867793302102562,1.0465336508131393
2010-07-20,1.1339741487107746,1.23243901556812
2010-07-21,1.342642102609879,1.3491524254534026
