date,Daily SJ
2010-03-29,0.1943539424580075
2010-03-30,0.1391743859315218
2010-03-31,0.17825609278035348
2010-04-01,0.17353553690828857
2010-04-02,0.19922386218799182
2010-04-05,0.2395191616986368
2010-04-06,0.28887357036228645
2010-04-07,0.24539508062416893
2010-04-08,0.1703505170421239
2010-04-09,0.10981436226214694
2010-04-12,0.09423555879858972
2010-04-13,0.1316261138822853
2010-04-14,0.09379261323492931
2010-04-15,0.0951577425968289
2010-04-16,0.1511813795955022
2010-04-19,0.11761004745243407
2010-04-20,-0.06281654104554281
2010-04-21,-0.06917773411658056
2010-04-22,0.011065155352084018
2010-04-23,-0.013168248104757935
2010-04-26,0.11350273934694168
2010-04-27,0.13644841464994792
2010-04-28,-0.10573023814686203
2010-04-30,-0.19100853863273462
2010-05-06,-0.4045920384205925
2010-05-07,-0.5715479287044972
2010-05-10,-1.4745860918438354
2010-05-11,-1.1041763436864265
2010-05-12,-0.9277118670437637
2010-05-13,-0.7921751646000755
2010-05-14,-0.5923561109124023
2010-05-17,-0.6622360075195762
2010-05-18,-0.8539510320039904
2010-05-19,-0.6521438266032674
2010-05-20,-0.7301929449355865
2010-05-21,-0.3839987812704963
2010-05-24,-0.8032086006432843
2010-05-25,-0.4153142465331741
2010-05-26,-0.621538670753624
2010-05-27,-0.584795886144363
2010-05-28,-1.0989047838520882
2010-05-31,-0.7897616626559358
2010-06-01,-0.817814904437967
2010-06-02,-0.4921916443826
2010-06-03,-0.6263418369881986
2010-06-04,-0.2589298567189593
2010-06-07,0.3853039216385933
2010-06-08,0.13775720522649823
2010-06-09,0.13721197017012796
2010-06-10,0.214744197190634
2010-06-11,0.004717988193349466
2010-06-14,-0.07130546187390739
2010-06-15,0.02738554787012798
2010-06-16,-0.15649574505915556
2010-06-17,-0.0010477199414809237
2010-06-18,0.004261825296169408
2010-06-21,-0.05966712334813078
2010-06-22,-0.0470759673186076
2010-06-23,0.07405800750579156
2010-06-24,-0.06846008802858519
2010-06-25,0.10245005971274408
2010-06-28,0.005593130442025151
2010-06-29,0.1431099928091616
2010-06-30,0.45230154871554784
2010-07-01,0.39337953397009645
2010-07-02,0.2733730574165235
2010-07-05,0.32451499840897724
2010-07-06,0.37089988111481664
2010-07-07,0.11877762141876713
2010-07-08,-0.37701675318251526
2010-07-09,-0.19218255654456462
2010-07-12,-0.17528301244259006
2010-07-13,-0.083997907959407
2010-07-14,-0.2722638359179976
2010-07-15,-0.016631125158249473
2010-07-16,0.14471901124362516
2010-07-20,0.25456548831830383
2010-07-21,0.08864329196726559
2010-07-22,0.2390136821442277
2010-07-23,-0.1289471569082635
2010-07-26,-0.15789886899972655
2010-07-27,-0.1036294002202407
2010-07-28,-0.3574599521984928
2010-07-29,-0.1927376344707131
2010-07-30,-0.2102043276100429
2010-08-02,-0.37291554793973614
2010-08-03,-0.5957875869957723
2010-08-04,-0.43321493426934565
2010-08-05,-0.6284135722697587
2010-08-06,-0.49580426736925604
2010-08-09,-0.4098336173939372
2010-08-10,-0.2874043657901376
2010-08-11,-0.10650934314273088
2010-08-12,0.16332638850804282
2010-08-13,-0.09736815410685658
2010-08-16,0.17273435427775155
2010-08-17,0.16555207551311232
2010-08-18,-0.025613023610777677
2010-08-19,-0.0416823262228906
2010-08-20,0.20428298818720572
2010-08-23,0.08077877971945165
2010-08-24,0.2680292421186308
2010-08-25,0.38550570318941496
2010-08-26,0.2810210965509313
2010-08-27,0.4060446887874309
2010-08-30,0.12887749940000695
2010-08-31,0.4775435856206312
2010-09-01,0.32362519655573163
2010-09-02,0.18023883493687268
2010-09-03,0.2686572738189
2010-09-06,0.2798519377543848
2010-09-07,0.34265378834270865
2010-09-08,0.5087508474841577
2010-09-09,0.28812503179836374
2010-09-10,0.25941419739485
2010-09-13,0.07244470099436473
2010-09-14,0.11650191661732487
2010-09-15,-0.09317047521306493
2010-09-16,-0.14467612324743911
2010-09-17,-0.1190050083950684
2010-09-21,-0.11611224766881788
2010-09-22,-0.1483045162933475
2010-09-24,-0.021689434207145
2010-09-27,-0.19764079189828856
2010-09-28,-0.1237695101041446
2010-09-29,-0.15118124771618593
2010-09-30,-0.13466823536498468
2010-10-01,-0.11087911612227826
2010-10-04,-0.19491952947032315
2010-10-05,-0.2990842295310288
2010-10-06,-0.19629251146559146
2010-10-07,-0.18292791400933545
2010-10-08,-0.1236343501702798
2010-10-12,-0.15507158213196792
2010-10-13,-0.30486068501398644
2010-10-14,-0.37146036566237245
2010-10-15,-0.2617285167459561
2010-10-18,-0.2421113226367431
2010-10-19,-0.2582405552938368
2010-10-20,0.053470912348598514
2010-10-21,-0.10692994642508699
2010-10-22,-0.0442052218699175
2010-10-25,-0.011826963939590176
2010-10-26,-0.028610571022261336
2010-10-27,-0.10868068173161524
2010-10-28,-0.05679089485077607
2010-10-29,-0.06880836815685938
2010-11-01,-0.06121546410516053
2010-11-02,-0.08999762637921734
2010-11-04,-0.32799869109419266
2010-11-05,-0.5320987028275588
2010-11-08,-0.40174001835175716
2010-11-09,-0.3256556336455254
2010-11-10,-0.37249067582714723
2010-11-11,-0.3600753816983321
2010-11-12,-0.30161416361825355
2010-11-15,-0.33395440204653243
2010-11-16,-0.2790637512982375
2010-11-17,-0.19401474265688617
2010-11-18,-0.24790445099736313
2010-11-19,-0.3338331467018112
2010-11-22,-0.4768342674353228
2010-11-24,-0.13515068086072285
2010-11-25,-0.273176977491329
2010-11-26,-0.24893082070178943
2010-11-29,-0.26119167554753575
2010-11-30,-0.208145869829805
2010-12-01,-0.22461157177759453
