,mse,mae,Q-LIKE,mape,samape
HAR,0.0,0.0,0.026,0.095,0.0
HAR-SVR1,0.0,0.0,0.031,1.0,0.0
HAR-SVR2,0.768,1.0,0.838,0.031,1.0
HAR-SVR3,1.0,0.0,1.0,0.036,0.006
