date,Daily RV+
2010-11-05,0.8260471871259137
2010-11-08,1.114094493110003
2010-11-09,1.1142272060204703
2010-11-10,1.0840275981549294
2010-11-11,1.0477053781637833
2010-11-12,0.9340371344643607
2010-11-15,0.872761237393879
2010-11-16,0.8205875559898455
2010-11-17,0.8551944819565974
2010-11-18,0.8536158114439052
2010-11-19,0.8429584116366388
2010-11-22,0.9477020243567593
2010-11-24,0.9484340429473334
2010-11-25,0.9458340716249193
2010-11-26,1.0052396225158498
2010-11-29,0.9269424770109502
2010-11-30,0.9060735128678575
2010-12-01,0.8780717747759726
2010-12-02,0.7933714710977064
2010-12-03,1.0990468028268037
2010-12-06,1.1415703627364915
2010-12-07,1.010739129333768
2010-12-08,0.8364881437424435
2010-12-09,0.71981822874147
2010-12-10,0.7008903948907975
2010-12-13,0.7174678833320723
2010-12-14,0.7080752535973509
2010-12-15,0.6800426746443471
2010-12-16,0.6723047725368487
2010-12-17,0.6216557334867324
2010-12-20,0.6027008755425912
2010-12-21,0.5785544433563242
2010-12-22,0.5346679080699804
2010-12-24,0.48394170303229067
2010-12-27,0.46213758810810757
2010-12-28,0.4247764851161905
2010-12-29,0.4028985516834819
2010-12-30,0.3874665296651584
