date,Daily RV
2010-03-29,0.40353607147796067
2010-03-30,0.4450918916716396
2010-03-31,0.43831874190740117
2010-04-01,0.4339484136211798
2010-04-02,0.4362039462349497
2010-04-05,0.4229401099147124
2010-04-06,0.4229712923232526
2010-04-07,0.4070328449922239
2010-04-08,0.3489062369206629
2010-04-09,0.37300255273324134
2010-04-12,0.3621109466600713
2010-04-13,0.3948023045320727
2010-04-14,0.3941812190755271
2010-04-15,0.36510397749976914
2010-04-16,0.43375285909572076
2010-04-19,0.3995716914695051
2010-04-20,0.6530218750268366
2010-04-21,0.6532035098807841
2010-04-22,0.7181005260675879
2010-04-23,0.7538830120985054
2010-04-26,0.5693519239944715
2010-04-27,0.648979597931309
2010-04-28,0.5438784172811729
2010-04-30,0.8526253897652919
2010-05-06,1.0452753667337387
2010-05-07,2.012360272678714
2010-05-10,2.163516075808236
2010-05-11,1.8697613537131927
2010-05-12,1.7884613891755277
2010-05-13,1.6203913095516758
2010-05-14,1.2069352862393579
2010-05-17,1.3675692252635026
2010-05-18,1.2910925125611656
2010-05-19,1.4286309311884362
2010-05-20,1.4220290053846611
2010-05-21,1.6077241832907188
2010-05-24,1.724181125650472
2010-05-25,1.7138109023173977
2010-05-26,1.6275953222925252
2010-05-27,1.675672292624711
2010-05-28,1.4773240933279925
2010-05-31,1.6539719167266798
2010-06-01,1.567524380369391
2010-06-02,1.594801849822881
2010-06-03,1.5764891940256731
2010-06-04,1.4229650415104798
2010-06-07,1.5090802358509001
2010-06-08,1.6670929523403097
2010-06-09,1.5416176312081469
2010-06-10,1.3432223408878432
2010-06-11,1.3833699837027678
2010-06-14,1.2476844641352534
2010-06-15,1.2407193117707571
2010-06-16,1.2133267902961877
2010-06-17,1.3544159682197758
2010-06-18,1.0753652071776427
2010-06-21,0.9817837231885658
2010-06-22,0.989490256200901
2010-06-23,0.9048833616712599
2010-06-24,1.0106377482208007
2010-06-25,1.029292040340173
2010-06-28,1.002206599696491
2010-06-29,0.9180372140813156
2010-06-30,0.9333890062080878
2010-07-01,1.1487046249789175
2010-07-02,1.0363803426436078
2010-07-05,1.0146818808436529
2010-07-06,1.0344436421267387
2010-07-07,0.7713029733972584
2010-07-08,0.9109914590912779
2010-07-09,1.134053809095105
2010-07-12,1.1348838927698217
2010-07-13,1.0011148555307081
2010-07-14,1.1077656848268467
2010-07-15,0.9585191084320567
2010-07-16,0.9903216994129249
2010-07-20,1.131819003032754
2010-07-21,1.2875773843831573
2010-07-22,1.1265870953908093
2010-07-23,1.2142005494725698
2010-07-26,1.3383927524360169
2010-07-27,1.2262513606585965
2010-07-28,1.1624548173961309
2010-07-29,1.2313570709052182
2010-07-30,1.0318209497234534
2010-08-02,0.9040565902346207
2010-08-03,0.9902962724478278
2010-08-04,1.0203384314409791
2010-08-05,1.0750777937143237
2010-08-06,1.1945305102747823
2010-08-09,1.2315981269811087
2010-08-10,1.0512141925474363
2010-08-11,1.0815301088285463
2010-08-12,1.160425582613548
2010-08-13,1.3606886646041252
2010-08-16,1.284805282038673
2010-08-17,1.354858896413742
2010-08-18,1.3154671082073297
2010-08-19,1.0646048229656493
2010-08-20,1.0862217943057084
2010-08-23,1.1029166166147384
2010-08-24,1.0286441326411302
2010-08-25,1.0304064893742086
2010-08-26,1.1280692087600328
2010-08-27,1.0117830233783323
2010-08-30,1.1219934719799556
2010-08-31,1.27593217480498
2010-09-01,1.3082515006949325
2010-09-02,1.3411680875373584
2010-09-03,1.447494493046657
2010-09-06,1.242447208942367
2010-09-07,1.1444005560961097
2010-09-08,1.181454404236541
2010-09-09,1.1245220098893072
2010-09-10,1.1323736340936545
2010-09-13,1.054689213694225
2010-09-14,1.0499762579757115
2010-09-15,0.9605666353038952
2010-09-16,1.046796668486693
2010-09-17,1.063439030086344
2010-09-21,1.063959634315599
2010-09-22,1.0628265509453587
2010-09-24,0.9893074941707739
2010-09-27,1.0612982870341525
2010-09-28,1.0562571651583779
2010-09-29,1.049373937255139
2010-09-30,1.0298494599796857
2010-10-01,0.8607082897009379
2010-10-04,0.8101598033048378
2010-10-05,0.845594916078313
2010-10-06,0.8951087379487391
2010-10-07,0.9309224522356967
2010-10-08,0.8783067783646619
2010-10-12,0.8705870183459127
2010-10-13,0.7798327612791826
2010-10-14,0.7851802934144816
2010-10-15,0.8487317141193392
2010-10-18,0.8568855618899683
2010-10-19,0.8212946536739383
2010-10-20,0.8038879952050987
2010-10-21,0.8725616474612978
2010-10-22,0.9261535882470256
2010-10-25,0.9075813419257168
2010-10-26,0.8998399043342895
2010-10-27,0.7429912450832034
2010-10-28,0.6378463806607485
2010-10-29,0.6448389134168926
2010-11-01,0.6814411977473358
2010-11-02,0.6986042491234085
2010-11-04,0.7351857220746415
2010-11-05,0.9194844936728689
2010-11-08,1.003562615988391
2010-11-09,0.9470090184032619
2010-11-10,0.9600839292274386
2010-11-11,0.8618913645086652
2010-11-12,0.7149937296403931
2010-11-15,0.6950065744071438
2010-11-16,0.684613334353527
2010-11-17,0.7115699884019419
2010-11-18,0.7716074747983045
2010-11-19,0.7863204510575412
2010-11-22,0.8012490805898133
2010-11-24,0.8616256997423886
2010-11-25,0.9940770664481573
2010-11-26,0.9941989813014296
2010-11-29,0.9227479371486176
2010-11-30,0.8977838330870809
2010-12-01,0.7077951219756784
2010-12-02,0.7785816567134606
2010-12-03,0.891405652809476
2010-12-06,0.8803657965225348
2010-12-07,0.8002107163680098
2010-12-08,0.7409014870575668
2010-12-09,0.5978409618928258
2010-12-10,0.6039881558563367
2010-12-13,0.6243719490226943
