,0
2009-03-10,2.2215114199761685
2009-03-11,2.580893276565606
2009-03-12,2.1168663779603953
2009-03-13,2.2702137817906296
2009-03-16,2.2455552742755045
2009-03-17,2.1102345674239795
2009-03-18,2.5192644268144067
2009-03-19,2.288399458981057
2009-03-23,2.515794139467309
2009-03-24,2.3650793684861986
2009-03-25,2.5252599229314394
2009-03-26,2.6103624699112444
2009-03-27,2.354890779479091
2009-03-30,2.0723442967043755
2009-03-31,2.017517298374588
2009-04-01,2.5005007214410173
2009-04-02,2.281491042807238
2009-04-03,2.4477909022302873
2009-04-06,2.4212674591154846
2009-04-07,2.6000704792026896
2009-04-08,2.20016968829891
2009-04-09,2.132198922204698
2009-04-10,2.1567792454282393
2009-04-13,2.1688443269290607
2009-04-14,1.9291495695320524
2009-04-15,1.8248780897563148
2009-04-16,1.8742402808043555
2009-04-17,2.0827919917543083
2009-04-20,2.1818201645271587
2009-04-21,2.21168900444026
2009-04-22,2.142418490597551
2009-04-23,1.9686903203920532
2009-04-24,1.7418234526433511
2009-04-27,1.8912308453895554
2009-04-28,1.9706771982241147
2009-04-30,2.0463545679409885
2009-05-01,2.0057707467002217
2009-05-07,2.597165481993249
2009-05-08,2.202716221203585
2009-05-11,1.7878789691958044
2009-05-12,1.7240582291199833
2009-05-13,1.9336365944025933
2009-05-14,1.2968953896151956
2009-05-15,1.7612088816818272
2009-05-18,1.5709682872165938
2009-05-19,2.5185525403505187
2009-05-20,1.8577659719137523
2009-05-21,1.9505258151907292
2009-05-22,1.2664450488769279
2009-05-25,1.7718775318348101
2009-05-26,2.403368696573469
2009-05-27,1.6719071794474814
2009-05-28,1.530930869661941
2009-05-29,1.9519214135665959
2009-06-01,1.6979195858390357
2009-06-02,1.2526068110327229
2009-06-03,1.6815571871814903
2009-06-04,1.345237305616523
2009-06-05,1.133483526702544
2009-06-08,0.9455922214760407
2009-06-09,0.9000905834927497
2009-06-10,0.8360601522451533
2009-06-11,0.7936363388766902
2009-06-12,0.6822744889103804
2009-06-15,0.5801686796178749
2009-06-16,0.7059017174168138
2009-06-17,1.0979564864735538
2009-06-18,0.9835183440824224
2009-06-19,0.8694991340394077
2009-06-22,0.852311309157928
2009-06-23,0.4180034502131693
2009-06-24,1.1718358476966473
2009-06-25,1.2255059625243325
2009-06-26,1.3980402782459014
2009-06-29,1.2521897074346982
2009-06-30,0.7346048284522051
2009-07-01,1.3992620693221958
2009-07-02,1.4002172905260883
2009-07-03,1.3928370756475927
2009-07-06,1.4242536828500145
2009-07-07,1.4043068428238357
2009-07-08,1.3846123164587327
2009-07-09,1.4039736500192446
2009-07-10,1.36330845009175
2009-07-13,1.3541578108452978
2009-07-14,1.4944164678587264
2009-07-15,1.4965373970631637
2009-07-16,1.6415322915654575
2009-07-17,1.6616246204319887
2009-07-21,1.6748882643944283
2009-07-22,2.5759464685698283
2009-07-23,1.6589585221050338
2009-07-24,1.6823816812885275
2009-07-27,1.6947717945563954
2009-07-28,1.6191205652970204
2009-07-29,1.6116862651365318
2009-07-30,1.604251510493325
2009-07-31,1.5976268393081199
2009-08-03,0.7995990744277289
2009-08-04,0.8769763780082882
2009-08-05,1.200779912989466
2009-08-06,0.9042614927589658
2009-08-07,0.7435035212626159
2009-08-10,0.7104998427354834
2009-08-11,0.9475849426439396
2009-08-12,1.111130121856768
2009-08-13,1.195762438655669
2009-08-14,0.9147693390856522
2009-08-17,0.5716847731134355
2009-08-18,0.47028950089872107
2009-08-19,0.666877276028021
2009-08-20,0.6154275588711109
2009-08-21,0.6217689471114316
2009-08-24,0.2680502556755093
2009-08-25,0.8470661866014201
2009-08-26,0.586981389481695
2009-08-27,0.8379468290936822
2009-08-28,0.6120853304712076
2009-08-31,0.45611546694939775
2009-09-01,0.7493582163068458
2009-09-02,0.6265166451472349
2009-09-03,1.2005592081508136
2009-09-04,1.1059671366519788
2009-09-07,1.0423135083874218
2009-09-08,0.9472247411621935
2009-09-09,0.82951354559799
2009-09-10,0.6441410455815514
2009-09-11,0.7195742334425407
2009-09-14,0.7190891710403547
2009-09-15,0.7514794088097886
2009-09-16,0.8095447511612595
2009-09-17,0.7559631941619426
2009-09-18,0.8038386662153234
2009-09-24,0.7929689063673303
2009-09-25,0.7730985533905848
2009-09-28,1.4183422072056042
2009-09-29,0.9017440579505049
2009-09-30,0.5459984529762064
2009-10-01,0.6381749988826311
2009-10-02,1.4741343661972357
2009-10-05,1.0191307751302798
2009-10-06,1.0454805391139383
2009-10-07,0.9513631953312222
2009-10-08,0.728522658229396
2009-10-09,0.8402004339370065
2009-10-13,0.8067410569564869
2009-10-14,0.7420670170140078
2009-10-15,1.1915686535661227
2009-10-16,0.9149082814687919
2009-10-19,0.9340638317899027
2009-10-20,0.9905567901848547
2009-10-21,0.9110641515999334
2009-10-22,0.9611353475007468
2009-10-23,0.8864648796993437
2009-10-26,0.7806578869372708
2009-10-27,0.8516397127254797
2009-10-28,0.7034082853790985
2009-10-29,0.9563081832142901
2009-10-30,1.3572112755633379
2009-11-02,1.3992103099050837
2009-11-04,1.4246606642425617
2009-11-05,1.1374257948621784
2009-11-06,0.9326401111122555
2009-11-09,0.6274249205781868
2009-11-10,0.9804773297493581
2009-11-11,0.9964461458495895
2009-11-12,0.6728506849329915
2009-11-13,0.6727240920807316
2009-11-16,0.6744664400411945
2009-11-17,0.5858527194223034
2009-11-18,0.5882132685711352
2009-11-19,0.7362511976746356
2009-11-20,0.8277083310476308
2009-11-24,0.5795447517870056
2009-11-25,0.7402591898321167
2009-11-26,0.9115334571576248
