date,Daily RV-
2010-11-05,0.6136522025876291
2010-11-08,0.5784645369162147
2010-11-09,0.5564840765677738
2010-11-10,0.5409989526675429
2010-11-11,0.5303287573238485
2010-11-12,0.5672155147816897
2010-11-15,0.54302964753467
2010-11-16,0.5550214309625804
2010-11-17,0.6662362148523061
2010-11-18,0.632669105512622
2010-11-19,0.6144873702241097
2010-11-22,0.4933393233145935
2010-11-24,0.882721939110829
2010-11-25,0.7370913635118963
2010-11-26,0.7266469559091161
2010-11-29,0.7228038336072381
2010-11-30,0.7636196581452311
2010-12-01,0.6037964147336402
2010-12-02,0.5890193470485442
2010-12-03,0.5553768132986278
2010-12-06,0.5423289637399052
2010-12-07,0.5278156051009983
2010-12-08,0.5210417228912035
2010-12-09,0.5140125342276978
2010-12-10,0.541123409616079
2010-12-13,0.542257273901283
2010-12-14,0.5332095184332956
2010-12-15,0.49970098143497865
2010-12-16,0.5002851049892769
2010-12-17,0.4695912133427633
2010-12-20,0.4280019850396506
2010-12-21,0.42003252060213425
2010-12-22,0.40636167179594584
2010-12-24,0.4265861599437369
2010-12-27,0.23182085243772715
2010-12-28,0.21722595828123903
2010-12-29,0.21006164499191599
2010-12-30,0.2182115180449631
