,model
2009-05-01,1.9033773652016546
2009-05-07,2.5653930528218853
2009-05-08,1.981176381490739
2009-05-11,1.8043173586051104
2009-05-12,1.7543512371720194
2009-05-13,1.7980247960861815
2009-05-14,1.629815493449653
2009-05-15,1.761166911512864
2009-05-18,1.9316034214612778
2009-05-19,1.871112140277643
2009-05-20,2.1170714498878795
2009-05-21,1.9205367696291604
2009-05-22,1.6650497564213413
2009-05-25,1.730441950600104
2009-05-26,1.7010871523416062
2009-05-27,1.495085486868265
2009-05-28,1.5017697886840708
2009-05-29,1.638981253084259
2009-06-01,1.5571683065977404
2009-06-02,1.3015619936943335
2009-06-03,1.5930661086168716
2009-06-04,1.338507143927822
2009-06-05,1.2817715655175306
2009-06-08,1.124245434873969
2009-06-09,1.114894063008642
2009-06-10,1.0664063831489705
2009-06-11,1.1294240217064244
2009-06-12,0.9636744481755547
2009-06-15,0.9453648126814719
2009-06-16,0.7337258100380064
2009-06-17,0.8379935710493677
2009-06-18,0.841789100317826
2009-06-19,0.7833078675483615
2009-06-22,0.8291540808606739
2009-06-23,0.9349148739492006
2009-06-24,0.9634757187713687
2009-06-25,1.173239815044885
2009-06-26,1.0653248250929346
2009-06-29,1.0676881556427085
2009-06-30,0.8394367822713267
2009-07-01,1.4642425366837577
2009-07-02,1.4812694404311064
2009-07-03,1.388403031008418
2009-07-06,1.1074958643722048
2009-07-07,1.0154346043699098
2009-07-08,0.8545772186990478
2009-07-09,1.3058365357803134
2009-07-10,1.3850656554425287
2009-07-13,1.3068632982879107
2009-07-14,1.545724586481691
2009-07-15,1.7722435538031824
2009-07-16,2.3584167966317175
2009-07-17,1.6336217749088087
2009-07-21,1.9697010182221835
2009-07-22,1.596778777032011
2009-07-23,1.4481389501959057
2009-07-24,1.224029495806238
2009-07-27,1.568229557404764
2009-07-28,1.2244583705824963
2009-07-29,1.1745906487757887
2009-07-30,1.028934801393387
2009-07-31,0.7914513937673251
2009-08-03,0.7798497229910109
2009-08-04,1.0705069960817193
2009-08-05,0.9902552407686396
2009-08-06,0.8721575955981624
2009-08-07,0.7657570774202752
2009-08-10,0.7142202292552026
2009-08-11,0.8400659971703635
2009-08-12,1.090815187791405
2009-08-13,0.915347270920128
2009-08-14,0.9306222177668692
2009-08-17,0.5150676072264784
2009-08-18,0.6152341576058773
2009-08-19,0.7708999607467169
2009-08-20,0.6366078511685394
2009-08-21,0.7022981745161776
2009-08-24,0.6202255961571109
2009-08-25,0.9647451997781529
2009-08-26,0.9804199584274514
2009-08-27,0.9734867979948737
2009-08-28,1.0254800922601166
2009-08-31,0.8237478487117497
2009-09-01,0.861433613886397
2009-09-02,1.4592294393072247
2009-09-03,1.4067869883447435
2009-09-04,1.334684623144945
2009-09-07,1.0116142777297683
2009-09-08,1.0552970291736528
2009-09-09,0.6633347495083067
2009-09-10,0.5762015738510633
2009-09-11,0.6672600691312965
2009-09-14,0.6489086931738601
2009-09-15,0.6687849747112168
2009-09-16,0.6615266930271115
2009-09-17,0.6803521568375785
2009-09-18,0.7964724940094529
2009-09-24,0.8031206326357068
2009-09-25,0.8266479195464822
2009-09-28,1.5159753651511945
2009-09-29,1.5131472345223742
2009-09-30,1.0585301185737332
2009-10-01,0.9778414743671897
2009-10-02,1.1257879096058814
2009-10-05,0.9820726598223043
2009-10-06,0.9280909094662231
2009-10-07,0.8890934241477758
2009-10-08,0.8641461628153365
2009-10-09,0.6898207243200529
2009-10-13,0.7507397680821198
2009-10-14,0.6840514314404524
2009-10-15,0.8140131913155314
2009-10-16,0.7910390445469715
2009-10-19,1.4093357932098625
2009-10-20,0.8333366584491032
2009-10-21,0.8428711202413062
2009-10-22,0.8133351575102991
2009-10-23,0.7707068175876175
2009-10-26,0.758899006829631
2009-10-27,0.7565900087036052
2009-10-28,0.7105583623229385
2009-10-29,0.7899718377274326
2009-10-30,1.4019095684376421
2009-11-02,1.4675040507742962
2009-11-04,1.414577277490814
2009-11-05,0.8076714248114818
2009-11-06,0.7844529723787903
2009-11-09,0.7439566613721424
2009-11-10,0.7949801867359101
2009-11-11,0.7674181318338319
2009-11-12,0.8184350308910515
2009-11-13,0.7199210425452394
2009-11-16,0.6989119438853221
2009-11-17,0.9097255174708256
2009-11-18,0.6660930269665459
2009-11-19,0.7600674588716261
2009-11-20,0.8582451407881213
2009-11-24,0.8196303294479044
2009-11-25,0.7152590163900311
2009-11-26,0.8118799527791982
2009-11-27,1.40429452738778
2009-11-30,1.5108708390833645
2009-12-01,1.5638134537157606
2009-12-02,1.5631061027784268
2009-12-03,1.5621976431320599
2009-12-04,1.118074966955796
2009-12-07,1.559090282876443
2009-12-08,1.0755264057816205
2009-12-09,1.0521124613298105
2009-12-10,0.952206820594256
2009-12-11,1.1214983260873705
2009-12-14,1.034031160806796
2009-12-15,0.9282526011361901
2009-12-16,1.2400516614294
2009-12-17,0.972275279777111
2009-12-18,1.0320206438338402
2009-12-21,0.8723629109779711
2009-12-22,0.9120071819491158
2009-12-24,0.6854035784017118
2009-12-25,0.6124441857053903
2009-12-28,0.5179392011346804
2009-12-29,0.4744943506513926
2009-12-30,0.5548026220077554
2010-01-04,0.4796857213414737
2010-01-05,0.8837238036130362
2010-01-06,0.8890650160514386
2010-01-07,0.6210389404444423
2010-01-08,0.6589429349263186
2010-01-12,0.6039237144820235
2010-01-13,0.7895127563931528
2010-01-14,0.5165618516797476
2010-01-15,0.5531246555287318
2010-01-18,0.6924637863837358
2010-01-19,0.4875495825913336
2010-01-20,1.02002900892766
2010-01-21,0.6893504055331049
2010-01-22,1.3650176325338998
2010-01-25,1.2287227131585223
2010-01-26,1.5326311044350414
2010-01-27,0.8149936631285042
2010-01-28,0.8748305499952701
2010-01-29,0.8856603299243926
2010-02-01,0.7803156081818496
2010-02-02,1.0097932916006618
2010-02-03,0.789491597011575
2010-02-04,0.6831899868826318
2010-02-05,1.5307428296817107
2010-02-08,1.8135250065634276
2010-02-09,1.807447733702283
2010-02-10,1.1719841375405322
2010-02-12,1.193483918507944
2010-02-15,0.8838288637838214
