,mse,mae,QLIKE,mape
HAR,0.002,0.0,0.535,0.003
HAR-SVR1,0.002,0.0,0.571,0.003
HAR-SVR2,0.9,0.002,0.659,0.003
HAR-SVR3,1.0,1.0,1.0,1.0
