date,Daily RV
2009-03-10,2.2209408671914908
2009-03-11,2.582208433737155
2009-03-12,2.1154958465010547
2009-03-13,2.2620339825840476
2009-03-16,2.2411541972202
2009-03-17,2.1100792474964107
2009-03-18,2.3115076768668197
2009-03-19,2.2817595247796665
2009-03-23,2.3229499816329677
2009-03-24,2.6434805386045475
2009-03-25,2.741373675147369
2009-03-26,2.599167525694611
2009-03-27,2.2367255835205673
2009-03-30,2.071327659755748
2009-03-31,1.7374814477512515
2009-04-01,2.0683513711126666
2009-04-02,2.1226306309472207
2009-04-03,2.2055962419317097
2009-04-06,2.196529325681568
2009-04-07,2.290202374844141
2009-04-08,1.988815270827678
2009-04-09,2.132131808232452
2009-04-10,2.154241363847862
2009-04-13,2.0437126736286544
2009-04-14,1.8923695996773986
2009-04-15,1.822583820378806
2009-04-16,1.8738247053063735
2009-04-17,1.9009437439355636
2009-04-20,1.8325978296510579
2009-04-21,1.8433803733164411
2009-04-22,2.1337236350119246
2009-04-23,1.9632610958417218
2009-04-24,1.726704058032203
2009-04-27,1.8878392524215355
2009-04-28,1.9673712421786185
2009-04-30,2.027976515843308
2009-05-01,2.0016407315287843
2009-05-07,1.0623521735722807
2009-05-08,2.1953955107629537
2009-05-11,1.7858601744855034
2009-05-12,1.708755318884658
2009-05-13,1.8762254024192655
2009-05-14,1.2325156676662956
2009-05-15,1.8862627925927329
2009-05-18,1.264314896666262
2009-05-19,0.5825332809180964
2009-05-20,1.4191392878207767
2009-05-21,1.944542727409318
2009-05-22,1.1997134294439495
2009-05-25,1.7030579945767481
2009-05-26,2.4029435547334113
2009-05-27,1.6707519446268766
2009-05-28,1.552554728802164
2009-05-29,1.9512873296067377
2009-06-01,1.6803709511766238
2009-06-02,1.2052459306112133
2009-06-03,1.679678262483605
2009-06-04,1.3411044735643685
2009-06-05,1.1230966262300208
2009-06-08,0.9429599342425827
2009-06-09,0.8886548791351323
2009-06-10,0.8147672903715274
2009-06-11,0.7754019182328115
2009-06-12,0.6821794089688721
2009-06-15,0.5783442353975119
2009-06-16,0.6495870401141586
2009-06-17,0.6554038243406163
2009-06-18,0.5175139355779403
2009-06-19,0.3619636662785509
2009-06-22,0.44648290970134763
2009-06-23,0.07116957408208097
2009-06-24,0.8566218247747761
2009-06-25,1.0013651691156422
2009-06-26,1.1810144365169832
2009-06-29,1.2486757196140528
2009-06-30,0.6459865635601584
2009-07-01,1.177441375144865
2009-07-02,1.3037629468465224
2009-07-03,1.227835610100344
2009-07-06,1.7032136907854039
2009-07-07,1.3147150475996923
2009-07-08,1.082213896679548
2009-07-09,1.2363756090721476
2009-07-10,1.1529761803284229
2009-07-13,1.0648640448474205
2009-07-14,1.2594872467031362
2009-07-15,1.7664430846917325
2009-07-16,1.1304302356121503
2009-07-17,2.1470157785796586
2009-07-21,1.6762573203587074
2009-07-22,2.596964893277303
2009-07-23,2.276607159121849
2009-07-24,2.060185857937552
2009-07-27,2.0718648853876234
2009-07-28,1.8127018879213916
2009-07-29,1.3057350412179582
2009-07-30,1.0910971120375321
2009-07-31,0.7717884024816233
2009-08-03,0.7822686654827663
2009-08-04,0.8595296363180255
2009-08-05,1.0012527401074596
2009-08-06,0.8757439997776397
2009-08-07,0.692057187507202
2009-08-10,0.7051737089049467
2009-08-11,0.9382424400640919
2009-08-12,0.8187275680286801
2009-08-13,0.9515322865426041
2009-08-14,0.9130373186392228
2009-08-17,0.4964092611314932
2009-08-18,0.44775154858775257
2009-08-19,0.6655230319279187
2009-08-20,0.5585348001430075
2009-08-21,0.5146786591757688
2009-08-24,0.24452539649663646
2009-08-25,0.7366115117342283
2009-08-26,0.3423828013859617
2009-08-27,0.3989748194348737
2009-08-28,0.5860851053554137
2009-08-31,0.4536593140607489
2009-09-01,0.7256819351391308
2009-09-02,0.5896738989246918
2009-09-03,1.1735842659677567
2009-09-04,1.067397689279283
2009-09-07,0.8483371375670322
2009-09-08,0.9164002104061663
2009-09-09,0.8261504279907423
2009-09-10,0.63728236109372
2009-09-11,0.7173701932299802
2009-09-14,0.6950817739070171
2009-09-15,0.7215895733829939
2009-09-16,0.7618542009520727
2009-09-17,0.7419103173052656
2009-09-18,0.7738928824023003
2009-09-24,0.7852145641461071
2009-09-25,0.7698213114404112
2009-09-28,1.4114049703513503
2009-09-29,0.8509635438657636
2009-09-30,0.5397300256595018
2009-10-01,0.5616318292530812
2009-10-02,1.4724734361060494
2009-10-05,1.0185126585759614
2009-10-06,1.0086624751399138
2009-10-07,0.9002308510439202
2009-10-08,0.7220887493421619
2009-10-09,0.8291717524635787
2009-10-13,0.8017062870735284
2009-10-14,0.7251004143761501
2009-10-15,1.1816244218310927
2009-10-16,0.885682961691529
2009-10-19,0.9077932772069579
2009-10-20,0.9596367985932316
2009-10-21,0.8887607005157192
2009-10-22,0.9546590183555016
2009-10-23,0.8676129459408136
2009-10-26,0.775516999295521
2009-10-27,0.8476432159064412
2009-10-28,0.6981224952197262
2009-10-29,0.7939047008816337
2009-10-30,0.633571870408274
2009-11-02,0.8192011784511345
2009-11-04,1.1232595923004316
2009-11-05,1.1288136229480938
2009-11-06,0.6024935395885888
2009-11-09,0.6263526707726764
2009-11-10,0.7342233324522978
2009-11-11,0.6731452518155505
2009-11-12,0.6671378281422987
2009-11-13,0.6425317817246433
2009-11-16,0.6284588639182715
2009-11-17,0.582518249728173
2009-11-18,0.5364149898414756
2009-11-19,0.6684610607681248
2009-11-20,0.7527787859197254
2009-11-24,0.5792289304859924
2009-11-25,0.6490772551503483
2009-11-26,0.8592839228442587
