,mse,mae,QLIKE,mape
HAR,0.079,0.0,0.313,0.0
HAR-SVR1,0.282,0.0,0.809,0.0
HAR-SVR2,0.932,0.002,0.809,0.0
HAR-SVR3,1.0,1.0,1.0,1.0
