,0
2010-11-04,1.6327783525208328
2010-11-05,1.1807790737908
2010-11-08,1.758676582317874
2010-11-09,0.6480394410570675
2010-11-10,2.9996739093821745
2010-11-11,2.395747642245279
2010-11-12,1.104053964615797
2010-11-15,0.683317731592553
2010-11-16,3.0289844892718083
2010-11-17,3.1058910947010565
2010-11-18,3.048742595448002
2010-11-19,1.923688132435708
2010-11-22,2.721008841721286
2010-11-24,1.0183719520659895
2010-11-25,2.5879889064983996
2010-11-26,0.6339887727101473
2010-11-29,3.085002136580412
2010-11-30,1.4114095630426151
2010-12-01,1.6298203309467432
2010-12-02,1.1142673049630314
2010-12-03,2.1146981832650886
2010-12-06,1.1655678364731354
2010-12-07,1.6050339484161689
2010-12-08,1.0527307187960913
2010-12-09,3.186069144259446
2010-12-10,1.838395112729446
2010-12-13,1.0292428793679036
2010-12-14,1.975384469770156
2010-12-15,0.9490597350337722
2010-12-16,0.5924759802359838
2010-12-17,0.2389427029214328
2010-12-20,0.9476219137869893
2010-12-21,0.301882535853752
2010-12-22,0.8875950720584644
2010-12-24,2.48521548592372
2010-12-27,0.5214544182624877
2010-12-28,0.8225773207633263
2010-12-29,2.1114274843814234
