date,Daily RV-
2010-03-29,0.3209299523160653
2010-03-30,0.24593220946204306
2010-03-31,0.23590756438417343
2010-04-01,0.23481900458661423
2010-04-02,0.23266040222735174
2010-04-05,0.19636534422523733
2010-04-06,0.2053573661815599
2010-04-07,0.19901392362676132
2010-04-08,0.33973084555524985
2010-04-09,0.27440723972174325
2010-04-12,0.28244865252663354
2010-04-13,0.3072465099415485
2010-04-14,0.30903104874961274
2010-04-15,0.2700462543372038
2010-04-16,0.2837130001360779
2010-04-19,0.6968816722233495
2010-04-20,0.5801992019767795
2010-04-21,0.5619594397237966
2010-04-22,0.6352314427758753
2010-04-23,0.6352365116639032
2010-04-26,0.507755698174985
2010-04-27,0.5185286572838534
2010-04-28,1.0930229425864613
2010-04-30,0.8525193055893664
2010-05-06,1.4902267961987694
2010-05-07,3.2343423551592663
2010-05-10,2.2985374147380595
2010-05-11,2.00962390593539
2010-05-12,1.9109476339281186
2010-05-13,1.7224751516943206
2010-05-14,1.8037080297734036
2010-05-17,1.967887254641699
2010-05-18,1.7820775416680572
2010-05-19,2.172837024999454
2010-05-20,2.1044242691626085
2010-05-21,2.85406372572303
2010-05-24,2.534056864549824
2010-05-25,2.4623274641847246
2010-05-26,2.3481122693305183
2010-05-27,2.4474405593896713
2010-05-28,2.2178053604295846
2010-05-31,2.1549197398961875
2010-06-01,2.1073851087745052
2010-06-02,2.2780599420002194
2010-06-03,1.949651979227379
2010-06-04,1.9029039617670838
2010-06-07,2.373282611898335
2010-06-08,1.8318067893423498
2010-06-09,1.7730710940404684
2010-06-10,1.714244330256879
2010-06-11,1.712736421817959
2010-06-14,1.476671609761164
2010-06-15,1.3121444834195481
2010-06-16,1.1954637615599188
2010-06-17,1.1892848930875424
2010-06-18,1.0497141337143214
2010-06-21,1.0240593126686057
2010-06-22,0.8671162296552797
2010-06-23,1.0643193936545814
2010-06-24,0.9693169315207432
2010-06-25,1.1445092776130388
2010-06-28,1.0657910489885365
2010-06-29,1.0561733222893344
2010-06-30,1.2987677030825768
2010-07-01,1.3522661399425928
2010-07-02,1.1650250970838238
2010-07-05,1.143379411077823
2010-07-06,1.2201476204696784
2010-07-07,0.8252268380667744
2010-07-08,0.7626752737503122
2010-07-09,0.7369287423460895
2010-07-12,0.743812444151656
2010-07-13,0.7065362300350639
2010-07-14,0.7082496981506878
2010-07-15,0.8075397007146067
2010-07-16,0.9136752095196387
2010-07-20,1.1269643560120535
2010-07-21,1.1120264925030277
2010-07-22,1.1955622153895962
2010-07-23,1.1134755982610782
2010-07-26,0.9734807425815298
2010-07-27,0.8547850988143756
2010-07-28,0.7617718740755036
2010-07-29,0.7926170548471106
2010-07-30,0.7986501444148664
2010-08-02,0.6651540783505161
2010-08-03,0.6392405868682756
2010-08-04,0.7001054629067703
2010-08-05,0.6701242278252076
2010-08-06,0.664098538004171
2010-08-09,0.7656153212349512
2010-08-10,0.764770386008238
2010-08-11,0.939400644469746
2010-08-12,1.4010984542224088
2010-08-13,1.2505265314852192
2010-08-16,1.3658678013638688
2010-08-17,1.3953717786244468
2010-08-18,1.2536380521967316
2010-08-19,0.9652607073743203
2010-08-20,1.1905406000373981
2010-08-23,1.0839507017904801
2010-08-24,1.1575977915136006
2010-08-25,1.2862104511627546
2010-08-26,1.2519449678863694
2010-08-27,1.2805983112611135
2010-08-30,1.24811156747416
2010-08-31,1.464797089513442
2010-09-01,1.3456618866436971
2010-09-02,1.3667040372783958
2010-09-03,1.2994110685352698
2010-09-06,1.2623852063641898
2010-09-07,1.1979033994373707
2010-09-08,1.3721059749052773
2010-09-09,1.2935112869838319
2010-09-10,1.228279057115013
2010-09-13,1.026112685968542
2010-09-14,1.0009740974356354
2010-09-15,0.9197759216973912
2010-09-16,0.8822910249303437
2010-09-17,0.8600511109186435
2010-09-21,0.8710303430169296
2010-09-22,0.7943331598641427
2010-09-24,0.9570862819187212
2010-09-27,0.856891827358946
2010-09-28,0.8544954779907625
2010-09-29,0.8502832542021701
2010-09-30,0.8367959851229715
2010-10-01,0.7690214476246626
2010-10-04,0.6681477027851718
2010-10-05,0.6957153708893667
2010-10-06,0.7023286908478792
2010-10-07,0.67758433743717
2010-10-08,0.6743977031655659
2010-10-12,0.6816201448822515
2010-10-13,0.5768925433826327
2010-10-14,0.5780906203908884
2010-10-15,0.6051472998868939
2010-10-18,0.5959272451242138
2010-10-19,0.5826489585731437
2010-10-20,0.7951864638822955
2010-10-21,0.8011254673752534
2010-10-22,0.7572180194687854
2010-10-25,0.752111028924454
2010-10-26,0.7550264038170421
2010-10-27,0.6014393556521405
2010-10-28,0.5947600539252489
2010-10-29,0.5843496701308659
2010-11-01,0.6381713229668684
2010-11-02,0.597950732520796
2010-11-04,0.5840186384715732
2010-11-05,0.5687476138169646
2010-11-08,0.5338226196405605
2010-11-09,0.515500014016233
2010-11-10,0.4999358109712711
2010-11-11,0.49007035309836194
2010-11-12,0.5289731856414127
2010-11-15,0.5042455336489067
2010-11-16,0.509942666361476
2010-11-17,0.5950407045012945
2010-11-18,0.5857294024398079
2010-11-19,0.5682320550655582
2010-11-22,0.4620520635609823
2010-11-24,0.7550424560678509
2010-11-25,0.6929399279567052
2010-11-26,0.6863759310219654
2010-11-29,0.6812868877213166
2010-11-30,0.7218678658910587
2010-12-01,0.5573908467327785
2010-12-02,0.5472969460609982
2010-12-03,0.5175068479545486
2010-12-06,0.49954001880592824
2010-12-07,0.4855695007298548
2010-12-08,0.4821739639122985
2010-12-09,0.4760756451156552
2010-12-10,0.5044297078595925
2010-12-13,0.5061015382439661
