,mse,mae,Q-LIKE,mape,samape
HAR,0.003,0.0,0.678,1.0,0.003
HAR-SVR1,0.007,0.0,0.675,0.266,0.006
HAR-SVR2,0.264,0.0,0.678,0.02,0.006
HAR-SVR3,1.0,1.0,1.0,0.182,1.0
